BRAZUELO,LEON,-6.12745692076923,42.4973472034615,26
BRIEVA,SEGOVIA,-4.05863800888889,41.0346695177778,9
BRIHUEGA,GUADALAJARA,-2.86128914866216,40.7462808452703,74
BRIME DE SOG,ZAMORA,-6.0428623355,42.059360055,2
BRION,A CORUÑA,-8.69621024827059,42.8495834538824,85
BUCIEGAS,CUENCA,-2.46385794533333,40.3379162333333,3
BUDIA,GUADALAJARA,-2.7655326962,40.666984913,10
BUENDIA,CUENCA,-2.76522454406667,40.3751991173333,15
BUEU,PONTEVEDRA,-8.78720573476136,42.3216098551136,88
BUSTILLO DEL PARAMO,LEON,-5.80432669758823,42.4408948276471,17
CABALLAR,SEGOVIA,-3.967231645,41.12461363,2
CABANA DE BERGANTIÑOS,A CORUÑA,-8.89359003567857,43.1998516494643,56
CABANAS,A CORUÑA,-8.14631562371429,43.4394933614286,21
CABAÑAS DE LA SAGRA,TOLEDO,-3.94809430680769,40.0084828623077,26
CABAÑAS DE POLENDOS,SEGOVIA,-4.1120424063,41.053665662,10
CABAÑAS DE YEPES,TOLEDO,-3.534314209125,39.89084360375,8
CABAÑAS RARAS,LEON,-6.62040157690625,42.6177497953125,32
CABANILLAS DEL CAMPO,GUADALAJARA,-3.216781138,40.60016119,1
CABEZAMESADA,TOLEDO,-3.11083671236842,39.8236127889474,19
CABEZARADOS,CIUDAD REAL,-4.29468290057143,38.8505114042857,7
CABEZARRUBIAS DEL PUERTO,CIUDAD REAL,-4.200612235,38.6105539775,12
CABEZUELA,SEGOVIA,-3.919416292,41.23892397,1
CABRILLANES,LEON,-6.09659701733333,42.9566839633333,3
CACABELOS,LEON,-6.72663905304,42.6059609626,50
CALABAZAS DE FUENTIDUEÑA,SEGOVIA,-4.009753651,41.44335678,1
CALDAS DE REIS,PONTEVEDRA,-8.65879112801667,42.6024637214167,120
CALVOS DE RANDIN,OURENSE,-7.86960988676,41.9426505056,25
CALZADA DE CALATRAVA,CIUDAD REAL,-3.76526860870796,38.6644895126549,113
CALZADILLA DE TERA,ZAMORA,-6.1098287194,41.984579746,5
CAMARENA,TOLEDO,-4.11575051112088,40.0929805140659,91
CAMARENILLA,TOLEDO,-4.07254292396875,40.0153030990625,32
CAMARIÑAS,A CORUÑA,-9.16473591218919,43.1389734643243,37
CAMARZANA DE TERA,ZAMORA,-6.048529099,42.017938545,2
CAMBADOS,PONTEVEDRA,-8.80267063307586,42.5137471635172,145
CAMBRE,A CORUÑA,-8.33383731602551,43.2960386242857,196
CAMPILLO DE DUEÑAS,GUADALAJARA,-1.684478966,40.88471942,1
CAMPILLOS  PARAVIENTOS,CUENCA,-1.54310267575,39.96763556,4
CAMPILLOS  SIERRA,CUENCA,-1.697912245,40.0993362,1
CAMPO DE CRIPTANA,CIUDAD REAL,-3.08856822924535,39.3536276075093,269
CAMPO DE SAN PEDRO,SEGOVIA,-3.5468405444,41.433379535,20
CAMPO LAMEIRO,PONTEVEDRA,-8.5370586204359,42.5381376125641,39
CAMPO REAL,MADRID,-3.37753978466667,40.3340579776543,81
CAMPONARAYA,LEON,-6.66960811255073,42.5757898130435,69
