BERCIAL,SEGOVIA,-4.43458,40.9069,1,0,0
BERCIANOS DEL PARAMO,LEON,-5.69058368421053,42.3524947368421,19,0,0
BERCIMUEL,SEGOVIA,-3.57136,41.3988,1,0,0
BERGONDO,A CORUNYA,-8.25003108695652,43.3082630434782,92,0,0
BERLANGA DEL BIERZO,LEON,-6.580486,42.73354,5,0,0
BERNARDOS,SEGOVIA,-4.34729625,41.1378,8,0,0
BERNINCHES,GUADALAJARA,-2.80152,40.57,1,0,0
BERNUY DE PORREROS,SEGOVIA,-4.11799285714286,41.0006857142857,7,0,0
BETANZOS,A CORUNYA,-8.21599137931034,43.2766356321839,87,0,0
BIENSERVIDA,ALBACETE,-2.5934025,38.5216875,8,0,0
BLANCOS OS,OURENSE,-7.75270708333333,41.9876166666667,24,0,0
BOBORAS,OURENSE,-8.1647522,42.438538,50,0,0
BOCEGUILLAS,SEGOVIA,-3.62945777777778,41.3382666666667,9,0,0
BOIMORTO,A CORUNYA,-8.13830355555556,43.0101955555556,45,0,0
BOIRO,A CORUNYA,-8.88201301369863,42.6484273972603,146,0,0
BOLA A,OURENSE,-7.90140862068965,42.1457896551724,29,0,0
BOLANYOS DE CALATRAVA,CIUDAD REAL,-3.65436377358491,38.9124443396227,106,0,0
BOLO O,OURENSE,-7.11310833333333,42.2974625,24,0,0
BONICHES,CUENCA,-1.622995,39.986,2,0,0
BOQUEIXON,A CORUNYA,-8.45334711111111,42.8244066666667,45,0,0
BOROX,TOLEDO,-3.71369757281553,40.0550922330097,103,0,0
BORRENES,LEON,-6.73046285714286,42.4850285714286,7,0,0
BOVEDA,LUGO,-7.49301777777778,42.637225,36,0,0
BRAZATORTAS,CIUDAD REAL,-4.29113666666667,38.65361,30,0,0
BRAZUELO,LEON,-6.13835357142857,42.5021857142857,14,0,0
BRIEVA,SEGOVIA,-4.05827,41.02895,2,0,0
BRIHUEGA,GUADALAJARA,-2.862396,40.74858,40,0,0
BRIME DE SOG,ZAMORA,-6.04286,42.0594,2,0,0
BRION,A CORUNYA,-8.69611844155844,42.8502883116883,77,0,0
BUCIEGAS,CUENCA,-2.46397,40.3347,1,0,0
BUDIA,GUADALAJARA,-2.759358,40.67108,5,0,0
BUENDIA,CUENCA,-2.76769428571429,40.3813285714286,7,0,0
BUEU,PONTEVEDRA,-8.7864568,42.3224293333333,75,0,0
BUSTILLO DEL PARAMO,LEON,-5.80281090909091,42.4358818181818,11,0,0
CABALLAR,SEGOVIA,-3.96225,41.1237,1,0,0
CABANA DE BERGANTINYOS,A CORUNYA,-8.89516803921569,43.1969941176471,51,0,0
CABANAS,A CORUNYA,-8.141269,43.43836,10,0,0
CABANYAS DE LA SAGRA,TOLEDO,-3.948885625,40.00650625,16,0,0
